settlement_id,year,pop_peacenow,pop_btselem,pop_best,pop_source
1,1969,0.0,,0.0,Peace Now
1,1970,0.0,,0.0,Peace Now
1,1971,0.0,,0.0,Peace Now
1,1972,0.0,,0.0,Peace Now
1,1973,0.0,,0.0,Peace Now
1,1974,0.0,,0.0,Peace Now
1,1975,0.0,,0.0,Peace Now
1,1976,0.0,,0.0,Peace Now
1,1977,0.0,,0.0,Peace Now
1,1978,0.0,,0.0,Peace Now
1,1979,0.0,,0.0,Peace Now
1,1982,0.0,,0.0,Peace Now
1,1983,0.0,,0.0,Peace Now
1,1985,0.0,,0.0,Peace Now
1,1986,0.0,,0.0,Peace Now
1,1987,0.0,,0.0,Peace Now
1,1988,0.0,,0.0,Peace Now
1,1989,0.0,,0.0,Peace Now
1,1990,0.0,,0.0,Peace Now
1,1991,0.0,,0.0,Peace Now
1,1992,0.0,,0.0,Peace Now
1,1993,147.0,,147.0,Peace Now
1,1994,214.0,,214.0,Peace Now
1,1995,270.0,,270.0,Peace Now
1,1996,347.0,347.0,347.0,Peace Now
1,1997,511.0,511.0,511.0,Peace Now
1,1998,630.0,600.0,630.0,Peace Now
1,1999,695.0,695.0,695.0,Peace Now
1,2000,785.0,785.0,785.0,Peace Now
1,2001,838.0,838.0,838.0,Peace Now
1,2002,891.0,891.0,891.0,Peace Now
1,2003,964.0,964.0,964.0,Peace Now
1,2004,1038.0,1038.0,1038.0,Peace Now
1,2005,1127.0,1127.0,1127.0,Peace Now
1,2006,1247.0,1247.0,1247.0,Peace Now
1,2007,1328.0,1328.0,1328.0,Peace Now
1,2008,1357.0,1357.0,1357.0,Peace Now
1,2009,1412.0,1412.0,1412.0,Peace Now
1,2010,1553.0,1553.0,1553.0,Peace Now
1,2011,1545.0,1545.0,1545.0,Peace Now
1,2012,1614.0,1614.0,1614.0,Peace Now
1,2013,1675.0,1675.0,1675.0,Peace Now
1,2014,1658.0,1660.0,1658.0,Peace Now
1,2015,1709.0,1709.0,1709.0,Peace Now
1,2016,1759.0,1759.0,1759.0,Peace Now
1,2017,1836.0,1836.0,1836.0,Peace Now
1,2018,1895.0,,1895.0,Peace Now
1,2019,1923.0,,1923.0,Peace Now
1,2020,2080.0,,2080.0,Peace Now
1,2021,2223.0,,2223.0,Peace Now
1,2022,2363.0,,2363.0,Peace Now
1,2023,2454.0,,2454.0,Peace Now
1,2024,2536.0,,2536.0,Peace Now
2,1969,0.0,,0.0,Peace Now
2,1970,0.0,,0.0,Peace Now
2,1971,0.0,,0.0,Peace Now
2,1972,0.0,,0.0,Peace Now
2,1973,0.0,,0.0,Peace Now
2,1974,0.0,,0.0,Peace Now
2,1975,0.0,,0.0,Peace Now
2,1976,0.0,,0.0,Peace Now
2,1977,0.0,,0.0,Peace Now
2,1978,0.0,,0.0,Peace Now
2,1979,0.0,,0.0,Peace Now
2,1982,0.0,,0.0,Peace Now
2,1985,0.0,,0.0,Peace Now
2,1986,0.0,,0.0,Peace Now
2,1987,0.0,,0.0,Peace Now
2,1988,0.0,,0.0,Peace Now
2,1989,0.0,,0.0,Peace Now
2,1990,0.0,,0.0,Peace Now
2,1991,0.0,,0.0,Peace Now
2,1992,0.0,,0.0,Peace Now
2,1993,0.0,,0.0,Peace Now
2,1994,0.0,,0.0,Peace Now
2,1995,0.0,,0.0,Peace Now
2,1996,0.0,,0.0,Peace Now
2,1997,0.0,,0.0,Peace Now
2,1998,0.0,,0.0,Peace Now
2,1999,0.0,,0.0,Peace Now
2,2000,0.0,,0.0,Peace Now
2,2001,0.0,,0.0,Peace Now
2,2002,0.0,,0.0,Peace Now
2,2003,0.0,,0.0,Peace Now
2,2004,0.0,,0.0,Peace Now
2,2005,0.0,,0.0,Peace Now
2,2006,0.0,,0.0,Peace Now
2,2007,0.0,,0.0,Peace Now
2,2009,100.0,100.0,100.0,Peace Now
2,2010,101.0,101.0,101.0,Peace Now
2,2011,119.0,119.0,119.0,Peace Now
2,2012,97.0,97.0,97.0,Peace Now
2,2013,112.0,112.0,112.0,Peace Now
2,2014,110.0,,110.0,Peace Now
2,2015,128.0,128.0,128.0,Peace Now
2,2016,193.0,193.0,193.0,Peace Now
2,2017,201.0,201.0,201.0,Peace Now
2,2018,185.0,,185.0,Peace Now
2,2019,237.0,,237.0,Peace Now
2,2020,255.0,,255.0,Peace Now
2,2021,260.0,,260.0,Peace Now
2,2022,249.0,,249.0,Peace Now
2,2023,271.0,,271.0,Peace Now
2,2024,286.0,,286.0,Peace Now
3,1969,0.0,,0.0,Peace Now
3,1970,0.0,,0.0,Peace Now
3,1971,0.0,,0.0,Peace Now
3,1972,0.0,,0.0,Peace Now
3,1973,0.0,,0.0,Peace Now
3,1974,0.0,,0.0,Peace Now
3,1975,0.0,,0.0,Peace Now
3,1976,0.0,,0.0,Peace Now
3,1977,0.0,,0.0,Peace Now
3,1978,0.0,,0.0,Peace Now
3,1979,0.0,,0.0,Peace Now
3,1983,0.0,,0.0,Peace Now
3,1993,165.0,,165.0,Peace Now
3,1994,184.0,,184.0,Peace Now
3,1995,191.0,,191.0,Peace Now
3,1996,207.0,207.0,207.0,Peace Now
3,1997,229.0,229.0,229.0,Peace Now
3,1998,264.0,300.0,264.0,Peace Now
3,1999,291.0,291.0,291.0,Peace Now
3,2000,271.0,271.0,271.0,Peace Now
3,2001,253.0,253.0,253.0,Peace Now
3,2002,205.0,205.0,205.0,Peace Now
3,2003,191.0,191.0,191.0,Peace Now
3,2004,186.0,186.0,186.0,Peace Now
3,2005,206.0,206.0,206.0,Peace Now
3,2006,220.0,220.0,220.0,Peace Now
3,2007,248.0,248.0,248.0,Peace Now
3,2008,248.0,248.0,248.0,Peace Now
3,2009,257.0,257.0,257.0,Peace Now
3,2010,240.0,240.0,240.0,Peace Now
3,2011,268.0,268.0,268.0,Peace Now
3,2012,278.0,278.0,278.0,Peace Now
3,2013,330.0,330.0,330.0,Peace Now
3,2014,367.0,370.0,367.0,Peace Now
3,2015,404.0,404.0,404.0,Peace Now
3,2016,421.0,421.0,421.0,Peace Now
3,2017,440.0,440.0,440.0,Peace Now
3,2018,440.0,,440.0,Peace Now
3,2019,462.0,,462.0,Peace Now
3,2020,447.0,,447.0,Peace Now
3,2021,474.0,,474.0,Peace Now
3,2022,515.0,,515.0,Peace Now
3,2023,534.0,,534.0,Peace Now
3,2024,541.0,,541.0,Peace Now
4,1969,0.0,,0.0,Peace Now
4,1970,0.0,,0.0,Peace Now
4,1971,0.0,,0.0,Peace Now
4,1972,0.0,,0.0,Peace Now
4,1973,0.0,,0.0,Peace Now
4,1974,0.0,,0.0,Peace Now
4,1975,0.0,,0.0,Peace Now
4,1976,0.0,,0.0,Peace Now
4,1977,0.0,,0.0,Peace Now
4,1978,0.0,,0.0,Peace Now
4,1979,0.0,,0.0,Peace Now
4,1982,0.0,,0.0,Peace Now
4,1983,0.0,,0.0,Peace Now
4,1985,232.0,,232.0,Peace Now
4,1986,618.0,,618.0,Peace Now
4,1987,1100.0,,1100.0,Peace Now
4,1988,1600.0,,1600.0,Peace Now
4,1989,1910.0,,1910.0,Peace Now
4,1990,2240.0,,2240.0,Peace Now
4,1991,2580.0,,2580.0,Peace Now
4,1992,2930.0,,2930.0,Peace Now
4,1993,3160.0,,3160.0,Peace Now
4,1994,3380.0,,3380.0,Peace Now
4,1995,3610.0,,3610.0,Peace Now
4,1996,4050.0,4050.0,4050.0,Peace Now
4,1997,4340.0,4340.0,4340.0,Peace Now
4,1998,4490.0,4500.0,4490.0,Peace Now
4,1999,4780.0,4778.0,4780.0,Peace Now
4,2000,5070.0,5070.0,5070.0,Peace Now
4,2001,5150.0,5150.0,5150.0,Peace Now
4,2002,5190.0,5190.0,5190.0,Peace Now
4,2003,5316.0,5316.0,5316.0,Peace Now
4,2004,5458.0,5458.0,5458.0,Peace Now
4,2005,5585.0,5585.0,5585.0,Peace Now
4,2006,5782.0,5782.0,5782.0,Peace Now
4,2007,5987.0,5987.0,5987.0,Peace Now
4,2008,6328.0,6328.0,6328.0,Peace Now
4,2009,5917.0,5917.0,5917.0,Peace Now
4,2010,6205.0,6205.0,6205.0,Peace Now
4,2011,6600.0,6600.0,6600.0,Peace Now
4,2012,7195.0,7195.0,7195.0,Peace Now
4,2013,7626.0,7626.0,7626.0,Peace Now
4,2014,8086.0,8090.0,8086.0,Peace Now
4,2015,8495.0,8495.0,8495.0,Peace Now
4,2016,8652.0,8652.0,8652.0,Peace Now
4,2017,8655.0,8655.0,8655.0,Peace Now
4,2018,8807.0,,8807.0,Peace Now
4,2019,8955.0,,8955.0,Peace Now
4,2020,8966.0,,8966.0,Peace Now
4,2021,9113.0,,9113.0,Peace Now
4,2022,9295.0,,9295.0,Peace Now
4,2023,10055.0,,10055.0,Peace Now
4,2024,9397.0,,9397.0,Peace Now
5,1969,0.0,,0.0,Peace Now
5,1970,0.0,,0.0,Peace Now
5,1971,0.0,,0.0,Peace Now
5,1972,0.0,,0.0,Peace Now
5,1973,0.0,,0.0,Peace Now
5,1974,0.0,,0.0,Peace Now
5,1975,0.0,,0.0,Peace Now
5,1976,0.0,,0.0,Peace Now
5,1977,0.0,,0.0,Peace Now
5,1978,0.0,,0.0,Peace Now
5,1979,0.0,,0.0,Peace Now
5,1982,0.0,,0.0,Peace Now
5,1983,0.0,,0.0,Peace Now
5,1985,0.0,,0.0,Peace Now
5,1986,0.0,,0.0,Peace Now
5,1987,0.0,,0.0,Peace Now
5,1988,0.0,,0.0,Peace Now
5,1989,0.0,,0.0,Peace Now
5,1990,0.0,,0.0,Peace Now
5,1991,0.0,,0.0,Peace Now
5,1992,235.0,,235.0,Peace Now
5,1993,267.0,,267.0,Peace Now
5,1994,273.0,,273.0,Peace Now
5,1995,298.0,,298.0,Peace Now
5,1996,361.0,361.0,361.0,Peace Now
5,1997,400.0,400.0,400.0,Peace Now
5,1998,439.0,400.0,439.0,Peace Now
5,1999,511.0,511.0,511.0,Peace Now
5,2000,541.0,541.0,541.0,Peace Now
5,2001,562.0,562.0,562.0,Peace Now
5,2002,534.0,534.0,534.0,Peace Now
5,2003,557.0,557.0,557.0,Peace Now
5,2004,600.0,600.0,600.0,Peace Now
5,2005,651.0,651.0,651.0,Peace Now
5,2006,698.0,698.0,698.0,Peace Now
5,2007,750.0,750.0,750.0,Peace Now
5,2008,785.0,785.0,785.0,Peace Now
5,2009,1032.0,1032.0,1032.0,Peace Now
5,2010,1101.0,1101.0,1101.0,Peace Now
5,2011,1181.0,1181.0,1181.0,Peace Now
5,2012,1024.0,1024.0,1024.0,Peace Now
5,2013,1026.0,1026.0,1026.0,Peace Now
5,2014,1275.0,1270.0,1275.0,Peace Now
5,2015,1305.0,1305.0,1305.0,Peace Now
5,2016,1151.0,1151.0,1151.0,Peace Now
5,2017,1199.0,1199.0,1199.0,Peace Now
5,2018,1238.0,,1238.0,Peace Now
5,2019,1269.0,,1269.0,Peace Now
5,2020,1285.0,,1285.0,Peace Now
5,2021,1355.0,,1355.0,Peace Now
5,2022,1470.0,,1470.0,Peace Now
5,2023,1670.0,,1670.0,Peace Now
5,2024,1596.0,,1596.0,Peace Now
6,1982,0.0,,0.0,Peace Now
6,1985,0.0,,0.0,Peace Now
6,1986,0.0,,0.0,Peace Now
6,1987,0.0,,0.0,Peace Now
6,1988,0.0,,0.0,Peace Now
6,1989,0.0,,0.0,Peace Now
6,1990,0.0,,0.0,Peace Now
6,1991,0.0,,0.0,Peace Now
6,1992,0.0,,0.0,Peace Now
6,1993,0.0,,0.0,Peace Now
6,1994,0.0,,0.0,Peace Now
6,1995,0.0,,0.0,Peace Now
6,1996,0.0,,0.0,Peace Now
6,1997,0.0,,0.0,Peace Now
6,1998,0.0,,0.0,Peace Now
6,1999,0.0,,0.0,Peace Now
6,2000,0.0,,0.0,Peace Now
6,2001,0.0,,0.0,Peace Now
6,2002,0.0,,0.0,Peace Now
6,2003,0.0,,0.0,Peace Now
6,2004,0.0,,0.0,Peace Now
6,2005,0.0,,0.0,Peace Now
6,2006,0.0,,0.0,Peace Now
6,2007,0.0,,0.0,Peace Now
7,1969,0.0,,0.0,Peace Now
7,1970,0.0,,0.0,Peace Now
7,1971,0.0,,0.0,Peace Now
7,1972,0.0,,0.0,Peace Now
7,1973,0.0,,0.0,Peace Now
7,1974,0.0,,0.0,Peace Now
7,1975,0.0,,0.0,Peace Now
7,1976,0.0,,0.0,Peace Now
7,1982,438.0,,438.0,Peace Now
7,1983,393.0,,393.0,Peace Now
7,1985,608.0,,608.0,Peace Now
7,1986,661.0,,661.0,Peace Now
7,1987,749.0,,749.0,Peace Now
7,1988,773.0,,773.0,Peace Now
7,1989,828.0,,828.0,Peace Now
7,1990,958.0,,958.0,Peace Now
7,1991,1190.0,,1190.0,Peace Now
7,1992,1210.0,,1210.0,Peace Now
7,1993,1140.0,,1140.0,Peace Now
7,1994,1120.0,,1120.0,Peace Now
7,1995,1130.0,,1130.0,Peace Now
7,1996,994.0,994.0,994.0,Peace Now
7,1997,1030.0,1030.0,1030.0,Peace Now
7,1998,1030.0,1000.0,1030.0,Peace Now
7,1999,1050.0,1054.0,1050.0,Peace Now
7,2000,1060.0,1060.0,1060.0,Peace Now
7,2001,1030.0,1030.0,1030.0,Peace Now
7,2002,1060.0,1060.0,1060.0,Peace Now
7,2003,1097.0,1097.0,1097.0,Peace Now
7,2004,1152.0,1152.0,1152.0,Peace Now
7,2005,1212.0,1212.0,1212.0,Peace Now
7,2006,1314.0,1314.0,1314.0,Peace Now
7,2007,1322.0,1322.0,1322.0,Peace Now
7,2008,1315.0,1315.0,1315.0,Peace Now
7,2009,1433.0,1433.0,1433.0,Peace Now
7,2010,1447.0,1447.0,1447.0,Peace Now
7,2011,1514.0,1514.0,1514.0,Peace Now
7,2012,1632.0,1632.0,1632.0,Peace Now
7,2013,1653.0,1653.0,1653.0,Peace Now
7,2014,1773.0,1770.0,1773.0,Peace Now
7,2015,1794.0,1794.0,1794.0,Peace Now
7,2016,1861.0,1861.0,1861.0,Peace Now
7,2017,1912.0,1912.0,1912.0,Peace Now
7,2018,1946.0,,1946.0,Peace Now
7,2019,1920.0,,1920.0,Peace Now
7,2020,2010.0,,2010.0,Peace Now
7,2021,2009.0,,2009.0,Peace Now
7,2022,2105.0,,2105.0,Peace Now
7,2023,2161.0,,2161.0,Peace Now
7,2024,2111.0,,2111.0,Peace Now
8,1969,0.0,,0.0,Peace Now
8,1982,1200.0,,1200.0,Peace Now
8,1983,1071.0,,1071.0,Peace Now
8,1985,1270.0,,1270.0,Peace Now
8,1986,1300.0,,1300.0,Peace Now
8,1987,1380.0,,1380.0,Peace Now
8,1988,1450.0,,1450.0,Peace Now
8,1989,1460.0,,1460.0,Peace Now
8,1990,1490.0,,1490.0,Peace Now
8,1991,1670.0,,1670.0,Peace Now
8,1992,1770.0,,1770.0,Peace Now
8,1993,1800.0,,1800.0,Peace Now
8,1994,1820.0,,1820.0,Peace Now
8,1995,1870.0,,1870.0,Peace Now
8,1996,1910.0,1910.0,1910.0,Peace Now
8,1997,1930.0,1930.0,1930.0,Peace Now
8,1998,1980.0,2000.0,1980.0,Peace Now
8,1999,2230.0,2232.0,2230.0,Peace Now
8,2000,2680.0,2680.0,2680.0,Peace Now
8,2001,2880.0,2880.0,2880.0,Peace Now
8,2002,3030.0,3030.0,3030.0,Peace Now
8,2003,3146.0,3146.0,3146.0,Peace Now
8,2004,3229.0,3229.0,3229.0,Peace Now
8,2005,3291.0,3291.0,3291.0,Peace Now
8,2006,3330.0,3330.0,3330.0,Peace Now
8,2007,3291.0,3291.0,3291.0,Peace Now
8,2008,3298.0,3298.0,3298.0,Peace Now
8,2009,2951.0,2951.0,2951.0,Peace Now
8,2010,3033.0,3033.0,3033.0,Peace Now
8,2011,3051.0,3051.0,3051.0,Peace Now
8,2012,3066.0,3066.0,3066.0,Peace Now
8,2013,3112.0,3112.0,3112.0,Peace Now
8,2014,3141.0,3140.0,3141.0,Peace Now
8,2015,3218.0,3218.0,3218.0,Peace Now
8,2016,3180.0,3180.0,3180.0,Peace Now
8,2017,3213.0,3213.0,3213.0,Peace Now
8,2018,3151.0,,3151.0,Peace Now
8,2019,3098.0,,3098.0,Peace Now
8,2020,3071.0,,3071.0,Peace Now
8,2021,3061.0,,3061.0,Peace Now
8,2022,3046.0,,3046.0,Peace Now
8,2023,3267.0,,3267.0,Peace Now
8,2024,2967.0,,2967.0,Peace Now
9,1982,0.0,,0.0,Peace Now
9,1983,57.0,,57.0,Peace Now
9,1985,0.0,,0.0,Peace Now
9,1986,0.0,,0.0,Peace Now
9,1987,0.0,,0.0,Peace Now
9,1988,0.0,,0.0,Peace Now
9,1989,0.0,,0.0,Peace Now
9,1990,0.0,,0.0,Peace Now
9,1991,0.0,,0.0,Peace Now
9,1992,0.0,,0.0,Peace Now
9,1993,103.0,,103.0,Peace Now
9,1994,102.0,,102.0,Peace Now
9,1995,125.0,,125.0,Peace Now
9,1996,145.0,145.0,145.0,Peace Now
9,1997,152.0,152.0,152.0,Peace Now
9,1998,157.0,200.0,157.0,Peace Now
9,1999,156.0,156.0,156.0,Peace Now
9,2000,167.0,167.0,167.0,Peace Now
9,2001,159.0,159.0,159.0,Peace Now
9,2002,155.0,155.0,155.0,Peace Now
9,2003,141.0,141.0,141.0,Peace Now
9,2004,142.0,142.0,142.0,Peace Now
9,2005,159.0,159.0,159.0,Peace Now
9,2006,192.0,192.0,192.0,Peace Now
9,2007,188.0,188.0,188.0,Peace Now
9,2008,197.0,197.0,197.0,Peace Now
9,2009,153.0,153.0,153.0,Peace Now
9,2010,170.0,170.0,170.0,Peace Now
9,2011,159.0,159.0,159.0,Peace Now
9,2012,178.0,178.0,178.0,Peace Now
9,2013,175.0,175.0,175.0,Peace Now
9,2014,179.0,180.0,179.0,Peace Now
9,2015,207.0,207.0,207.0,Peace Now
9,2016,239.0,239.0,239.0,Peace Now
9,2017,250.0,250.0,250.0,Peace Now
9,2018,253.0,,253.0,Peace Now
9,2019,255.0,,255.0,Peace Now
9,2020,246.0,,246.0,Peace Now
9,2021,256.0,,256.0,Peace Now
9,2022,236.0,,236.0,Peace Now
9,2023,306.0,,306.0,Peace Now
9,2024,264.0,,264.0,Peace Now
11,1969,0.0,,0.0,Peace Now
11,1970,0.0,,0.0,Peace Now
11,1971,0.0,,0.0,Peace Now
11,1972,0.0,,0.0,Peace Now
11,1973,0.0,,0.0,Peace Now
11,1974,0.0,,0.0,Peace Now
11,1982,0.0,,0.0,Peace Now
11,1983,133.0,,133.0,Peace Now
11,1985,0.0,,0.0,Peace Now
11,1986,264.0,,264.0,Peace Now
11,1987,0.0,,0.0,Peace Now
11,1988,0.0,,0.0,Peace Now
11,1989,0.0,,0.0,Peace Now
11,1990,267.0,,267.0,Peace Now
11,1991,278.0,,278.0,Peace Now
11,1992,327.0,,327.0,Peace Now
11,1993,359.0,,359.0,Peace Now
11,1994,398.0,,398.0,Peace Now
11,1995,417.0,,417.0,Peace Now
11,1996,397.0,397.0,397.0,Peace Now
11,1997,503.0,503.0,503.0,Peace Now
11,1998,663.0,700.0,663.0,Peace Now
11,1999,747.0,747.0,747.0,Peace Now
11,2000,784.0,784.0,784.0,Peace Now
11,2001,789.0,789.0,789.0,Peace Now
11,2002,796.0,796.0,796.0,Peace Now
11,2003,882.0,882.0,882.0,Peace Now
11,2004,993.0,993.0,993.0,Peace Now
11,2005,1131.0,1131.0,1131.0,Peace Now
11,2006,1314.0,1314.0,1314.0,Peace Now
11,2007,1547.0,1547.0,1547.0,Peace Now
11,2008,1706.0,1706.0,1706.0,Peace Now
11,2009,1837.0,1837.0,1837.0,Peace Now
11,2010,1905.0,1905.0,1905.0,Peace Now
11,2011,2081.0,2081.0,2081.0,Peace Now
11,2012,2302.0,2302.0,2302.0,Peace Now
11,2013,2389.0,2389.0,2389.0,Peace Now
11,2014,2532.0,2530.0,2532.0,Peace Now
11,2015,2577.0,2577.0,2577.0,Peace Now
11,2016,2568.0,2568.0,2568.0,Peace Now
11,2017,2571.0,2571.0,2571.0,Peace Now
11,2018,2510.0,,2510.0,Peace Now
11,2019,2459.0,,2459.0,Peace Now
11,2020,2487.0,,2487.0,Peace Now
11,2021,2561.0,,2561.0,Peace Now
11,2022,2615.0,,2615.0,Peace Now
11,2023,2567.0,,2567.0,Peace Now
11,2024,2712.0,,2712.0,Peace Now
12,1969,0.0,,0.0,Peace Now
12,1970,0.0,,0.0,Peace Now
12,1971,0.0,,0.0,Peace Now
12,1972,0.0,,0.0,Peace Now
12,1973,0.0,,0.0,Peace Now
12,1974,0.0,,0.0,Peace Now
12,1975,0.0,,0.0,Peace Now
12,1976,0.0,,0.0,Peace Now
12,1977,0.0,,0.0,Peace Now
12,1978,0.0,,0.0,Peace Now
12,1979,0.0,,0.0,Peace Now
12,1982,0.0,,0.0,Peace Now
12,1983,0.0,,0.0,Peace Now
12,1985,1260.0,,1260.0,Peace Now
12,1986,1680.0,,1680.0,Peace Now
12,1987,1910.0,,1910.0,Peace Now
12,1988,2110.0,,2110.0,Peace Now
12,1989,2330.0,,2330.0,Peace Now
12,1990,2560.0,,2560.0,Peace Now
12,1991,2860.0,,2860.0,Peace Now
12,1992,3170.0,,3170.0,Peace Now
12,1993,3720.0,,3720.0,Peace Now
12,1994,4030.0,,4030.0,Peace Now
12,1995,4130.0,,4130.0,Peace Now
12,1996,4210.0,4210.0,4210.0,Peace Now
12,1997,4260.0,4260.0,4260.0,Peace Now
12,1998,4360.0,4400.0,4360.0,Peace Now
12,1999,4410.0,4414.0,4410.0,Peace Now
12,2000,4580.0,4580.0,4580.0,Peace Now
12,2001,5040.0,5040.0,5040.0,Peace Now
12,2002,5250.0,5250.0,5250.0,Peace Now
12,2003,5347.0,5347.0,5347.0,Peace Now
12,2004,5433.0,5433.0,5433.0,Peace Now
12,2005,5541.0,5541.0,5541.0,Peace Now
12,2006,5826.0,5826.0,5826.0,Peace Now
12,2007,6164.0,6164.0,6164.0,Peace Now
12,2008,6633.0,6633.0,6633.0,Peace Now
12,2009,6718.0,6718.0,6718.0,Peace Now
12,2010,7079.0,7079.0,7079.0,Peace Now
12,2011,7423.0,7423.0,7423.0,Peace Now
12,2012,7574.0,7574.0,7574.0,Peace Now
12,2013,7583.0,7583.0,7583.0,Peace Now
12,2014,7614.0,7610.0,7614.0,Peace Now
12,2015,7638.0,7638.0,7638.0,Peace Now
12,2016,7780.0,7780.0,7780.0,Peace Now
12,2017,7801.0,7801.0,7801.0,Peace Now
12,2018,7865.0,,7865.0,Peace Now
12,2019,7952.0,,7952.0,Peace Now
12,2020,7997.0,,7997.0,Peace Now
12,2021,7967.0,,7967.0,Peace Now
12,2022,7975.0,,7975.0,Peace Now
12,2023,8126.0,,8126.0,Peace Now
12,2024,8000.0,,8000.0,Peace Now
13,1969,0.0,,0.0,Peace Now
13,1970,0.0,,0.0,Peace Now
13,1971,0.0,,0.0,Peace Now
13,1972,0.0,,0.0,Peace Now
13,1973,0.0,,0.0,Peace Now
13,1974,0.0,,0.0,Peace Now
13,1975,0.0,,0.0,Peace Now
13,1976,0.0,,0.0,Peace Now
13,1982,650.0,,650.0,Peace Now
13,1983,607.0,,607.0,Peace Now
13,1985,1070.0,,1070.0,Peace Now
13,1986,1390.0,,1390.0,Peace Now
13,1987,1560.0,,1560.0,Peace Now
13,1988,1690.0,,1690.0,Peace Now
13,1989,1850.0,,1850.0,Peace Now
13,1990,2120.0,,2120.0,Peace Now
13,1991,2360.0,,2360.0,Peace Now
13,1992,2480.0,,2480.0,Peace Now
13,1993,2600.0,,2600.0,Peace Now
13,1994,2710.0,,2710.0,Peace Now
13,1995,2840.0,,2840.0,Peace Now
13,1996,2750.0,2750.0,2750.0,Peace Now
13,1997,2840.0,2840.0,2840.0,Peace Now
13,1998,2920.0,2900.0,2920.0,Peace Now
13,1999,356.0,2941.0,356.0,Peace Now
13,2000,2990.0,2990.0,2990.0,Peace Now
13,2001,3030.0,3030.0,3030.0,Peace Now
13,2002,3030.0,3030.0,3030.0,Peace Now
13,2003,3050.0,3050.0,3050.0,Peace Now
13,2004,2983.0,2983.0,2983.0,Peace Now
13,2005,2963.0,2963.0,2963.0,Peace Now
13,2006,2968.0,2968.0,2968.0,Peace Now
13,2007,3000.0,3000.0,3000.0,Peace Now
13,2008,3098.0,3098.0,3098.0,Peace Now
13,2009,3483.0,3483.0,3483.0,Peace Now
13,2010,3587.0,3587.0,3587.0,Peace Now
13,2011,3746.0,3746.0,3746.0,Peace Now
13,2012,3860.0,3860.0,3860.0,Peace Now
13,2013,3871.0,3871.0,3871.0,Peace Now
13,2014,3871.0,3870.0,3871.0,Peace Now
13,2015,3945.0,3945.0,3945.0,Peace Now
13,2016,3898.0,3898.0,3898.0,Peace Now
13,2017,3884.0,3884.0,3884.0,Peace Now
13,2018,3812.0,,3812.0,Peace Now
13,2019,3838.0,,3838.0,Peace Now
13,2020,3911.0,,3911.0,Peace Now
13,2021,4071.0,,4071.0,Peace Now
13,2022,4301.0,,4301.0,Peace Now
13,2023,4392.0,,4392.0,Peace Now
13,2024,4453.0,,4453.0,Peace Now
14,1969,0.0,,0.0,Peace Now
14,1970,0.0,,0.0,Peace Now
14,1971,0.0,,0.0,Peace Now
14,1972,0.0,,0.0,Peace Now
14,1973,0.0,,0.0,Peace Now
14,1974,0.0,,0.0,Peace Now
14,1975,0.0,,0.0,Peace Now
14,1976,0.0,,0.0,Peace Now
14,1977,0.0,,0.0,Peace Now
14,1978,0.0,,0.0,Peace Now
14,1979,0.0,,0.0,Peace Now
14,1982,0.0,,0.0,Peace Now
14,1983,0.0,,0.0,Peace Now
14,1985,0.0,,0.0,Peace Now
14,1986,0.0,,0.0,Peace Now
14,1987,0.0,,0.0,Peace Now
14,1988,0.0,,0.0,Peace Now
14,1989,0.0,,0.0,Peace Now
14,1990,0.0,,0.0,Peace Now
14,1991,0.0,,0.0,Peace Now
14,1992,237.0,,237.0,Peace Now
14,1993,286.0,,286.0,Peace Now
14,1994,299.0,,299.0,Peace Now
14,1995,292.0,,292.0,Peace Now
14,1996,329.0,329.0,329.0,Peace Now
14,1997,356.0,356.0,356.0,Peace Now
14,1998,368.0,400.0,368.0,Peace Now
14,1999,356.0,356.0,356.0,Peace Now
14,2000,361.0,361.0,361.0,Peace Now
14,2001,308.0,308.0,308.0,Peace Now
14,2002,218.0,218.0,218.0,Peace Now
14,2003,232.0,232.0,232.0,Peace Now
14,2004,275.0,275.0,275.0,Peace Now
14,2005,258.0,258.0,258.0,Peace Now
14,2006,257.0,257.0,257.0,Peace Now
14,2007,263.0,263.0,263.0,Peace Now
14,2008,253.0,253.0,253.0,Peace Now
14,2009,377.0,377.0,377.0,Peace Now
14,2010,401.0,401.0,401.0,Peace Now
14,2011,410.0,410.0,410.0,Peace Now
14,2012,469.0,469.0,469.0,Peace Now
14,2013,510.0,510.0,510.0,Peace Now
14,2014,535.0,540.0,535.0,Peace Now
14,2015,583.0,583.0,583.0,Peace Now
14,2016,688.0,688.0,688.0,Peace Now
14,2017,729.0,729.0,729.0,Peace Now
14,2018,835.0,,835.0,Peace Now
14,2019,932.0,,932.0,Peace Now
14,2020,986.0,,986.0,Peace Now
14,2021,1114.0,,1114.0,Peace Now
14,2022,1228.0,,1228.0,Peace Now
14,2023,1362.0,,1362.0,Peace Now
14,2024,1394.0,,1394.0,Peace Now
15,1969,0.0,,0.0,Peace Now
15,1970,0.0,,0.0,Peace Now
15,1971,0.0,,0.0,Peace Now
15,1972,0.0,,0.0,Peace Now
15,1973,0.0,,0.0,Peace Now
15,1974,0.0,,0.0,Peace Now
15,1975,0.0,,0.0,Peace Now
15,1976,0.0,,0.0,Peace Now
15,1977,0.0,,0.0,Peace Now
15,1978,0.0,,0.0,Peace Now
15,1979,0.0,,0.0,Peace Now
